name,rating_count,rating_average,id
La Loteria,366.0,4.53552,50894
Bondi Sushi Bar - Nolita,358.0,4.5419,31204
Casa Bocado,341.0,4.5132,7107
Amity Hall,288.0,4.51042,3296
Sushi Dojo,264.0,4.46591,53195
Amigo by Nai,248.0,4.49597,50045
Nonna Beppa,216.0,4.53241,52783
J-Spec Wagyu Dining,200.0,4.525,45268
The Garret East @ Borrachito,195.0,4.47179,50732
Arthur & Sons NY Italian,176.0,4.48295,56563
Piacere,175.0,4.54286,51152
Sant Ambroeus - Soho,158.0,4.4557,54225
Egg Shop Nolita,156.0,4.48718,57493
Boulton and Watt,149.0,4.53691,52867
Happy Be,145.0,4.51724,51540
Les Trois Chevaux,142.0,4.54225,51336
Misirizzi,119.0,4.5042,58489
Trapizzino,103.0,4.52427,53071
Osteria Morini,95.0,4.49474,57645
Locanda Verde,79.0,4.4557,52612
Souvlaki GR LES,74.0,4.54054,8237
Felice 15 Gold,62.0,4.53226,59610
Two Hands Nolita,61.0,4.45902,58125
Saishin by Kissaki,60.0,4.46667,57174
Greca,58.0,4.48276,54357
Lafayette Grand Café & Bakery,31.0,4.54839,52613
The Ten Bells,27.0,4.51852,5748
Schilling,23.0,4.52174,10392
Thalassa Restaurant,16.0,4.5,53176
Ding A Ling,11.0,4.45455,58891
Maison Sun,8.0,4.5,50868
Esquire's Taste of Two Cities,3.0,5.0,8523
Unique Omakase,3.0,5.0,62919
Saint Downstairs,3.0,5.0,60987
Jose Luis Little Italy,3.0,5.0,60634
Buenos Aires,3.0,5.0,59379
Beyond Meat & Gregorys - Jersey City,3.0,5.0,46976
La Contenta,2.0,5.0,64010
GITANO Island,2.0,5.0,61029
Citizens of Soho,2.0,5.0,60841
dhom,1.0,5.0,64696
XEO Cantina,1.0,5.0,61154
Maestro Pasta,1.0,5.0,60111
Horus Cafe,,5.0,62477
Smyth Tavern,,5.0,61242
Makitiki,,5.0,60441
The Fulton by Jean-Georges,9900.0,4.43131,5932
Aria West Village,3047.0,4.40893,892
Kimika,2760.0,4.3779,30248
Saint Theo's,2328.0,4.39433,52984
Dr Clark,1668.0,4.39029,32520
Pinto Garden,1477.0,4.3541,5202
Loreley Beer Garden,1371.0,4.35959,1190
Circa Brewing Co,1365.0,4.44469,1444
Scampi,1316.0,4.39286,1913
Lure Fishbar,1244.0,4.44132,49982
Sel Rrose,1238.0,4.39822,5787
St Tropez Soho,1111.0,4.41494,4373
Hunan Slurp,914.0,4.42779,3221
The Happiest Hour,877.0,4.41049,3622
The Malt House FiDi,807.0,4.39901,3011
White Horse Tavern,750.0,4.43867,6273
Ofrenda,675.0,4.44593,10363
cloudM rooftop bar at citizenM Bowery,620.0,4.42903,3233
The Waverly Inn,521.0,4.4357,58422
Negril Village,466.0,4.36481,8525
The Commerce Inn,459.0,4.41176,53342
The Well Kitchen & Table,360.0,4.38611,9573
Smith & Mills,341.0,4.37537,42588
Sake Bar Decibel,339.0,4.42773,42686
Route 66 Smokehouse,333.0,4.36336,42647
Mezcali,332.0,4.43072,55202
Avena Downtown,330.0,4.3697,5713
Bar Tulix,329.0,4.42249,58996
Adoro Lei,321.0,4.42679,5510
Cagen Japanese Restaurant,302.0,4.44702,8351
Bell Book & Candle,295.0,4.42712,40644
BALADE,295.0,4.42373,10672
Panca,203.0,4.35468,50007
Little Rebel,196.0,4.42347,52654
Nai,138.0,4.42029,59005
Stout NYC Financial District,134.0,4.35821,1710
Seamore's Brookfield,121.0,4.42149,59703
Gugu Room,118.0,4.35593,60350
Gazab,104.0,4.35577,60097
Ye's Apothecary,97.0,4.43299,60980
The Perry Club by Pasta by Hudson,95.0,4.43158,57177
Pulqueria,91.0,4.37363,53767
Club Room at Soho Grand Hotel,86.0,4.44186,10482
Temakase,74.0,4.36486,59605
Bar Chrystie,69.0,4.43478,54658
Devon,63.0,4.36508,5009
Saito,60.0,4.4,60244
Iris Cafe,58.0,4.44828,59022
Angel's Share,49.0,4.36735,48530
Monte’s Trattoria,47.0,4.40426,40736
Somtum Der - East Village,34.0,4.44118,61156
Primo's,34.0,4.38235,58847
Liberty Bistro,5804.0,4.33356,175
Malibu Farm New York,4165.0,4.26074,7192
GupShup,2836.0,4.31805,6008
ATLA,2245.0,4.32962,47491
BABS,1618.0,4.28059,6600
Her Name Was Carmen,1314.0,4.33409,4042
The Butcher's Daughter - West Village,1077.0,4.32312,4922
Pietro Nolita,909.0,4.28273,3683
Sunday in Brooklyn / The Seaport,741.0,4.26856,30254
Estuary at ONE°15 Brooklyn Marina,684.0,4.2924,6813
Baar Baar,480.0,4.26042,58992
The Malt House Greenwich Village,422.0,4.30569,3253
Bellini at Harry's Table,406.0,4.31034,59544
Hancock St,314.0,4.32166,52316
Attraversa Tribeca,293.0,4.27986,3134
Mono + Mono,263.0,4.26616,59569
Grotta Azzurra Restaurant,214.0,4.34579,2968
